,Antena,Fecha,Latitud,Longitud,Codigo,Temp_max_emas,Temp_min_emas,Hidroregion,Topoforma,Temp_max_merra,Temp_min_merra,Differential_max,Differential_min,Temp_mean_merra,Temp_mean_emas,Humedad,Presion_barometrica,Precipitacion,Radiacion_solar,Etiqueta_clase
7034,28029,01/03/2019,22.92,-98.35,28029,-99.0,-99.0,San Fernando Soto La Mar.,Bajada,32.07227,19.90674,-99.0,-99.0,24.46082,,,,,,0
7035,28029,02/03/2019,22.92,-98.35,28029,-99.0,-99.0,San Fernando Soto La Mar.,Bajada,31.46173,19.56839,-99.0,-99.0,24.42715,,,,,,0
7038,28031,01/03/2019,22.55,-99.09,28031,-99.0,-99.0,Panuco,Bajada,33.43658,18.3324,-99.0,-99.0,24.30203,,,,,,0
7039,28031,02/03/2019,22.55,-99.09,28031,-99.0,-99.0,Panuco,Bajada,34.16302,18.44031,-99.0,-99.0,24.97183,,,,,,0
7042,28033,01/03/2019,23.26,-98.61,28033,-99.0,-99.0,Panuco,Bajada,33.50543,18.55103,-99.0,-99.0,24.54007,,,,,,0
7043,28033,02/03/2019,23.26,-98.61,28033,-99.0,-99.0,Panuco,Bajada,33.29865,18.35461,-99.0,-99.0,24.77399,,,,,,0
7070,28050,01/03/2019,23.96,-98.65,28050,-99.0,-99.0,San Fernando Soto La Mar.,Bajada,34.54974,19.01654,-99.0,-99.0,25.48776,,,,,,0
7071,28050,02/03/2019,23.96,-98.65,28050,-99.0,-99.0,San Fernando Soto La Mar.,Bajada,35.17691,19.15686,-99.0,-99.0,25.92902,,,,,,0
7098,28066,01/03/2019,22.53,-99.21,28066,-99.0,-99.0,Panuco,Bajada,33.14334,17.71786,-99.0,-99.0,23.75491,,,,,,0
7099,28066,02/03/2019,22.53,-99.21,28066,-99.0,-99.0,Panuco,Bajada,34.20654,17.61859,-99.0,-99.0,24.55505,,,,,,0
7106,28071,01/03/2019,23.3,-99.55,28071,-99.0,-99.0,Panuco,Bajada,32.00659,15.155,-99.0,-99.0,21.83554,,,,,,0
7107,28071,02/03/2019,23.3,-99.55,28071,-99.0,-99.0,Panuco,Bajada,33.37418,15.11047,-99.0,-99.0,22.79083,,,,,,0
7138,28089,01/03/2019,23.61,-98.61,28089,-99.0,-99.0,San Fernando Soto La Mar.,Bajada,33.65305,18.1351,-99.0,-99.0,24.47189,,,,,,0
7139,28089,02/03/2019,23.61,-98.61,28089,-99.0,-99.0,San Fernando Soto La Mar.,Bajada,33.67487,18.12769,-99.0,-99.0,24.79388,,,,,,0
